bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-ts001_ses-cfmri1_acq-fspgr_T1w	0.5092480243161094	1.9325409054882423	0.5287	-1.0	4.22449	3.93164	4.82826	3.91357	0.2821874965994222	0.37948162651364903	0.33833087688692876	0.6252220869064331	0.2220158010721206	0.0	0.001813474796494383	7.282948181261124	7.211114273566636	7.310325315255434	172	256	256	1.4851100301366322	4.471697118159407	5.292975146872203	9.92211829232057	30.09992295458561	65.98829263120693	65.56731468778615	100.6137284775659	1.0	1.0	1.0	20.5055	0.0	2.2993	0.0	3938600.0	0.0	15.0	6.2249	-0.8981	165.7538	317.4085	286.0	430586.51519880485	60.0	651.0	192.5781	-0.6033	94.7826	631.0742	627.0	579046.4606390398	401.0	888.0	140.2151	-0.4631	72.76	932.533	956.0	516255.0255360846	736.0	1051.0	96.3503	0.20360789168396218	0.5346626734966748	0.5567666006213068	0.6165420963600242
sub-ts001_ses-cfmri1_acq-mprage_T1w	0.5494727611940299	1.8442995558090252	0.6699	-1.0	4.132216605091841	4.103374938854949	4.386262434639597	3.907012441780978	0.2735556969614307	0.3770472039936359	0.3493970990449334	0.40489548444747925	0.06836201995611191	0.0	0.0014811169856798114	6.904072936705321	6.822209493944639	6.891624493580293	204	320	320	1.7093452332046815	5.725049943919931	6.372277551710937	11.682437478008197	35.19439998618116	77.74454273474745	73.67059289711877	108.07283597042769	0.800000011920929	0.800000011920929	0.800000011920929	484.6633	0.0	1.4195	0.0	7357574.0	0.0	11.0	5.7892	-0.9713	168.634	342.9496	311.0	819024.663374567	106.0	675.0	181.9409	-0.5141	82.9144	695.5367	687.0	1128877.8218014936	504.0	925.0	119.9989	-0.3622	64.3443	938.6006	955.0	1046093.5180950514	776.0	1046.0	81.7466	0.18622708491926868	0.5178849485368188	0.5500787480743612	0.6709123061523866
sub-ts001_ses-cfmri2_acq-fspgr_T1w	0.5134060606060605	1.928615822002738	0.5245	-1.0	4.28089	3.97529	4.89141	3.97597	0.28285268784001744	0.3797637515398014	0.33738356062018116	0.5896701812744141	0.19120697528123853	0.0	0.0007131471264104557	7.236257244749581	7.1630209043466655	7.2618348951097955	172	256	256	1.4934532015523856	4.478202462975977	5.185374863083855	9.584468924723202	30.419465651610363	66.96582014471115	66.60752255164152	102.43728185860309	1.0	1.0	1.0	21.0996	0.0	2.3001	0.0	4245861.0	0.0	15.0	6.0949	-0.919	163.4881	314.5715	283.0	434380.26731093635	62.0	644.0	189.4935	-0.6042	93.6772	626.6697	623.0	583207.7508917504	399.0	880.0	139.1182	-0.5064	75.7468	928.0691	953.0	518123.98307984474	725.0	1049.0	99.4316	0.20031195803687138	0.5349586611474663	0.5565930220695263	0.6291934281197676
sub-ts001_ses-cfmri2_acq-mprage_T1w	0.5566056818181817	1.8204481575690405	0.6633	-1.0	4.265091603111849	4.194812437492424	4.5611999320328245	4.039262439810299	0.27618848483841485	0.3760040859071824	0.3478074292544028	0.40258491039276123	0.0675241068005562	0.0	0.0008438611051900769	6.862334693476562	6.780429428697732	6.849397740638033	204	320	320	1.7318719301284426	5.76976055911753	6.454443755311083	11.861698776687279	16.774261195733715	36.96748008741316	34.93747395544538	51.07068058318927	0.800000011920929	0.800000011920929	0.800000011920929	1723.5856	0.0	1.6993	0.0	7339467.0	0.0	12.0	12.2636	-0.9428	166.8293	344.6433	314.0	831951.5264507688	105.0	677.0	181.3066	-0.5497	83.3887	699.3467	692.0	1132622.0693278408	507.0	927.0	119.9356	-0.3824	63.5552	939.9938	956.0	1047686.4082454732	780.0	1045.0	80.5955	0.1822549981527583	0.5150427218105672	0.550888345806786	0.6567940199774257
sub-ts001_ses-sdsu1_acq-mprage_T1w	0.49087748344370863	1.9071843083064568	0.5266	8838.2652	3.931626666666667	3.9983	4.18702	3.60956	0.27883460191808934	0.37836033649034323	0.34280506159156743	0.5100743174552917	0.1371659278869629	0.0	0.0028522510134504713	7.361676403252016	7.288141100287096	7.382341024071703	176	256	256	1.6753119731005668	4.972206780916279	6.0093152267412195	11.380426926206816	35.84113009435856	72.77831921300942	71.4995836846684	105.87930174663722	1.0	1.0	1.0	4591.5567	0.0	2.9139	0.0	3343999.0	0.0	13.0	5.9772	-0.9806	165.7555	353.0314	327.0	431042.8829763393	81.0	684.0	195.1873	-0.2755	86.6832	670.4716	664.0	584897.0290014604	451.0	926.0	133.5422	-0.2037	61.5618	945.4652	966.0	529933.089476169	771.0	1049.0	84.8825	0.20833498868847253	0.534271480268543	0.5552031977273032	0.49315217384682064
sub-ts001_ses-sdsu2_acq-mprage_T1w	0.4832629508196721	1.9377861050148706	0.5101	13746.2598	3.894666666666667	3.96699	4.13877	3.57824	0.27944177256115044	0.37843760292472256	0.342120624514127	0.5043450593948364	0.1340803682804108	0.0	0.0020547769722354713	7.3775794058742665	7.3066537072192865	7.400874194882802	176	256	256	1.6598108010152484	4.973367167746081	6.0549330443605065	11.531621164320189	43.891176818742295	89.12870875462393	87.73747513357993	130.1925398273736	1.0	1.0	1.0	4228.2502	0.0	1.8469	0.0	3977910.0	0.0	7.0	4.866	-0.9786	166.8853	351.3579	326.0	431060.451610344	77.0	683.0	196.4077	-0.3151	86.2152	668.7399	662.0	583769.1427732739	450.0	924.0	133.1089	-0.1979	61.18	947.5295	967.0	527747.4071132315	775.0	1051.0	83.8563	0.2062533541280727	0.5311669562371262	0.550647488709924	0.5004299619176136
sub-ts002_ses-cfmri1_acq-fspgr_T1w	0.5282613418530351	2.1615643631604238	0.5293	-1.0	4.3904700000000005	4.12258	4.87598	4.17285	0.28017929377862816	0.3836320165398676	0.3361886896815042	0.5827236175537109	0.18917414695024493	0.0	0.0019643098414579	7.8916229329014005	7.835995463007463	7.933592986630955	172	256	256	1.77081746643173	5.596052713686054	6.155221080012793	11.098793059920594	29.28988007569888	53.92000650299112	54.391529193603695	79.96470100212107	1.0	1.0	1.0	543.1827	0.0	2.9814	0.0	4475569.0	0.0	17.0	7.8733	-0.7067	161.0636	366.5479	352.0	394922.24103193986	75.0	696.0	198.778	-0.7572	93.8027	651.9389	648.0	540742.3712875509	466.0	849.0	115.7958	-0.539	71.5431	943.2679	961.0	473869.38894746586	774.0	1057.0	86.5859	0.19226642548955983	0.5358462493935621	0.5478652503822637	0.601692574923004
sub-ts002_ses-cfmri1_acq-mprage_T1w	0.5749815686274511	1.8523951698998413	0.6733	10851.4576	3.826458276314662	3.7717749437961734	4.002874940352515	3.7047249447952963	0.26966746154412435	0.380784872107482	0.34954766634839374	0.4598783254623413	0.07323932945728301	0.0	0.0008346359019496539	7.445457173745834	7.368484769880102	7.444835210528017	204	320	320	1.8415471189956305	6.3378763928997275	6.644260346272488	11.753357526922105	33.242284510127405	63.75979160139191	61.307491924415295	86.92039966172658	0.800000011920929	0.800000011920929	0.800000011920929	134.2914	0.0	2.0434	0.0	7125010.0	0.0	14.0	7.2131	-0.5768	175.2411	385.4842	366.0	748168.1027816052	103.0	724.0	198.7458	-0.4941	82.6735	707.858	702.0	1056453.3581519092	532.0	914.0	110.7626	0.0456	63.9468	943.3712	957.0	969788.5420292874	784.0	1054.0	81.4235	0.18500116798371036	0.5331756264078753	0.5486990302384187	0.6476147336544011
sub-ts002_ses-cfmri2_acq-fspgr_T1w	0.4965923753665689	2.290784447114016	0.5496	-1.0	4.15387	3.89794	4.64434	3.91933	0.28121897454647904	0.385809874819324	0.33297115063419697	0.5543103218078613	0.15721459835767743	0.0	0.0012153516825971983	7.843075008040804	7.794328295809319	7.897008674262567	172	256	256	1.6654481707572233	5.234775969606861	5.920669646047455	10.86178479777828	28.615837091258815	54.60636802735627	55.88985103654627	84.44734799102372	1.0	1.0	1.0	1911.0328	0.0	2.0635	0.0	4308347.0	0.0	13.0	7.4864	-0.6877	160.8994	346.3145	327.0	398611.02363563434	67.0	674.0	196.3433	-0.7369	97.1819	627.4409	624.0	546862.3494502113	437.0	827.0	119.2027	-0.4391	72.1561	946.3873	965.0	471966.6281746422	771.0	1061.0	88.8435	0.1950885533473467	0.5356992174889543	0.5426443176526747	0.6110228945462078
sub-ts002_ses-cfmri2_acq-mprage_T1w	0.547995	1.9726217585000025	0.6755	12959.4872	3.939016607970745	3.895912441946381	4.105024938830361	3.8161124431354936	0.270593715268081	0.38195335601933383	0.3474529287125851	0.4391404837369919	0.07076140791177743	0.0	0.0013059779728006333	7.492996482955667	7.425883843798711	7.502555136884896	204	320	320	1.833009976307951	6.617488875177562	6.989612535747564	12.518338755757178	18.796652221068417	35.426398153917155	34.25055753240259	48.52862222222221	0.800000011920929	0.800000011920929	0.800000011920929	952.0749	0.0	1.7321	0.0	8095339.0	0.0	10.0	13.0005	-0.6619	178.215	390.7916	373.0	745946.2369841312	100.0	731.0	203.4903	-0.4305	81.1561	709.1988	703.0	1052931.5817398466	542.0	905.0	106.2336	0.1021	61.3226	950.2987	963.0	957824.184665538	800.0	1055.0	76.9271	0.1832864273815595	0.5210167127000354	0.5412518891848496	0.6460580230045527
sub-ts002_ses-sdsu1_acq-mprage_T1w	0.4997413907284768	2.169180043994203	0.5061	14288.3255	3.7801600000000004	3.7515	3.97995	3.60903	0.2775714801058641	0.38334902644131513	0.33907949345282085	0.5128888785839081	0.13259004503488536	0.0	0.0025048284594032058	8.01166208578289	7.960969220368743	8.066317736520736	176	256	256	1.9911563323194093	5.787336641923488	6.801121636360892	12.624871934839778	36.32685771680953	60.39452771777267	61.44617372280851	87.61713573384334	1.0	1.0	1.0	2570.2001	0.0	3.498	0.0	4446711.0	0.0	14.0	7.2679	0.9125	148.5565	410.5422	403.0	393964.97403277835	95.0	731.0	202.3947	-0.2359	88.9895	673.9587	670.0	544098.0074388159	488.0	875.0	115.7699	0.0219	61.9324	958.651	972.0	481265.0196707512	808.0	1061.0	76.9908	0.20253124776333367	0.5329426874710216	0.5382161585259245	0.49570935190621085
sub-ts002_ses-sdsu2_acq-mprage_T1w	0.4713981012658228	2.2135324112876833	0.5433	10433.7431	3.7764366666666667	3.8313	3.93569	3.56232	0.2855504137660323	0.3807685366921268	0.3336810495418409	0.5065221190452576	0.14438416063785553	0.0	0.0018756583354688284	7.869185841408238	7.818458605940376	7.917344022459983	176	256	256	1.8275920168215845	5.527308212901868	6.614303865802832	12.488011367685042	28.2366037889884	51.832651523519104	52.252136816577426	76.68715513722476	1.0	1.0	1.0	11587.2777	0.0	2.9578	0.0	3901869.0	0.0	14.0	8.3294	-0.5853	156.454	375.2187	359.0	413023.2598606527	84.0	698.0	196.4331	-0.6098	88.5117	664.3373	659.0	550747.800371986	471.0	873.0	119.2261	-0.0516	60.4501	959.9652	975.0	482639.9409402266	804.0	1062.0	78.0748	0.1883954766039299	0.5278481828388492	0.5359151868224609	0.4885532643183479
sub-ts003_ses-cfmri1_acq-fspgr_T1w	0.5254561128526646	1.9831402553295172	0.5678	-1.0	3.9606133333333333	3.77137	4.35859	3.75188	0.27231862367336457	0.3851633379700839	0.3425180383565515	0.5994511246681213	0.22292615473270416	0.0	0.0011938736243600526	6.927418570883642	6.8591883901677635	6.9774261966281825	172	256	256	1.917919361010211	4.9667150644184055	5.621530840646204	9.979958096509995	43.438886272694205	69.32889579681867	72.21759978835279	103.8850172955455	1.0	1.0	1.0	115.5313	0.0	1.9056	0.0	4450235.0	0.0	11.0	6.0478	-0.6856	163.6049	398.1725	401.0	434886.3066142326	78.0	722.0	209.0805	-0.7123	95.304	646.0039	640.0	615096.6071785511	444.0	881.0	128.8577	-0.1291	72.3165	936.8117	959.0	546993.0871430228	744.0	1059.0	96.0925	0.20885477219682913	0.5276558949908903	0.5310740641144958	0.6476798565739892
sub-ts003_ses-cfmri1_acq-mprage_T1w	0.5749457831325301	1.7941845269986183	0.705	-1.0	3.6007166130118082	3.5793249466639017	3.760162443969213	3.4626624484023085	0.2598408960734772	0.3839385441019032	0.35622055982461953	0.4420480728149414	0.07812781631946564	0.0	0.0016038262987545094	6.689839964718603	6.614674655833778	6.7100990819991955	204	320	320	2.206514039384543	6.424770763693299	6.87100826190418	11.981739982634696	9.632260291875406	14.752677527643597	14.78765305521032	19.978021346111955	0.800000011920929	0.800000011920929	0.800000011920929	647.6761	0.0	3.3051	0.0	6926770.0	0.0	16.0	31.2188	1.2951	151.9649	458.9359	459.0	798058.4390046967	135.0	779.0	208.0203	0.5412	80.0763	711.5337	703.0	1179203.8890331418	543.0	917.0	109.4202	0.704	63.0852	940.5996	952.0	1094072.6737434957	788.0	1052.0	79.4542	0.213816822659803	0.5227042461185537	0.5327715514139194	0.6430609626407632
sub-ts003_ses-sdsu1_acq-mprage_T1w	0.47419161073825505	2.1016220544240536	0.5375	13514.0625	3.575316666666667	3.66873	3.72393	3.33329	0.2639265062552208	0.3875736205914581	0.34849987315332104	0.4926399886608124	0.14168432354927057	0.0	0.0034829464633380327	7.064232122673633	7.006523786225968	7.120117070996148	176	256	256	2.1388550986217667	5.788983705557041	6.642508843043789	11.99968772495256	45.873971257338546	67.40869575587084	70.17983084637964	97.25682552592954	1.0	1.0	1.0	9415.0507	0.0	2.6881	0.0	4066373.0	0.0	13.0	6.5408	2.509	158.9408	450.6234	458.0	423159.96589566185	100.0	768.0	214.133	-0.2852	81.2539	682.1168	673.0	621406.4756078109	500.0	901.0	116.2552	0.1227	60.0552	955.924	971.0	558758.5594589541	795.0	1062.0	80.9187	0.22470916224292264	0.5304536022784038	0.5280505797492003	0.48376922373598763
sub-ts004_ses-cfmri1_acq-fspgr_T1w	0.5508958990536278	1.695398853777354	0.634	13204.9405	4.09345	3.83426	4.53965	3.90644	0.2776862181845176	0.37576774567538207	0.3465460361401003	0.6605278849601746	0.3016545504331585	0.0	0.002226910979847442	5.552214089746564	5.472197487788433	5.59033092715069	172	256	256	1.744605628800164	4.048020291332686	5.30826076317006	10.13215636937733	6.2421804188365515	11.888092857366328	11.975048604494399	17.79487253728032	1.0	1.0	1.0	462.2416	0.0	5.2202	0.0	3426065.0	0.0	18.0	35.1593	-0.8508	155.6804	356.3849	335.0	551393.1931717319	86.0	678.0	192.0203	-0.5692	101.0863	638.5094	638.0	746150.7399737579	371.0	927.0	157.6078	-0.4435	73.5477	934.583	955.0	688126.0679682884	746.0	1057.0	94.2543	0.2243500634709245	0.5322449970504887	0.5535580922175694	0.5725734091562614
sub-ts004_ses-cfmri1_acq-mprage_T1w	0.6041893004115225	1.492750145396206	0.7255	13937.0337	4.057524939538167	4.064074939440564	4.2013249373953805	3.9071749417785564	0.27206816960074387	0.36850779009347995	0.3594240403057762	0.47404277324676514	0.1095951199531554	0.0	0.001301671404314394	5.253461020274473	5.156652824113344	5.23454667874602	204	320	320	1.9106190014681135	5.446400388688907	6.4537227280302	12.004148793933577	4.15494960181615	8.40432987640085	7.9439803466541745	11.272661561745522	0.800000011920929	0.800000011920929	0.800000011920929	121.1089	0.0	6.668	0.0	6675234.0	0.0	10.0	55.502	-0.9027	163.1217	381.7312	352.0	1065021.4618232823	135.0	710.0	184.2334	-0.2421	82.4091	720.4451	712.0	1442538.1178348335	507.0	962.0	130.7285	-0.2878	64.4089	942.1219	955.0	1406979.4249824714	787.0	1052.0	79.5558	0.20118775341661774	0.5094512333615112	0.544719880534607	0.6347842481489507
sub-ts004_ses-cfmri2_acq-fspgr_T1w	0.5413658307210031	1.6690176135806403	0.6256	11354.3862	4.0016766666666665	3.78992	4.37095	3.84416	0.279576527936427	0.37548012064159614	0.3449433514219768	0.6790652871131897	0.3649022102355952	0.0	0.0022193055613419547	5.4501373899609895	5.367558322080789	5.485429712413221	172	256	256	1.712054775815247	3.9570764841995256	5.165161331115586	9.826352733331985	5.804284878791172	11.305892325252744	11.365240841395803	16.985545320143494	1.0	1.0	1.0	430.9386	0.0	5.844	0.0	3461215.0	0.0	20.0	36.796	-0.8207	155.3477	349.6206	326.0	565380.6232088691	83.0	672.0	190.4143	-0.2328	99.2559	634.781	635.0	759324.0612071678	359.0	930.0	160.4719	-0.3012	73.4398	931.7019	954.0	697570.3162143133	735.0	1054.0	97.0858	0.220745089026503	0.5307711872349004	0.551245027590443	0.5307005410309317
sub-ts004_ses-cfmri2_acq-mprage_T1w	0.618504132231405	1.4597271950552901	0.7215	11808.0257	4.058316606193037	4.044562439731323	4.230399936962129	3.8999874418856586	0.2730785818395114	0.3670181331406916	0.35990328501979707	0.48274728655815125	0.11110223531723018	0.0	0.0007914626775679867	5.26181540281384	5.162963628386752	5.2435042625511725	204	320	320	1.9166004868798976	5.307273799591778	6.374817627944402	11.900578597361532	4.294952982803451	8.638299802032856	8.1664598968798	11.566126905803095	0.800000011920929	0.800000011920929	0.800000011920929	122.9568	0.0	6.7922	0.0	6415557.0	0.0	12.0	54.1504	-0.9027	163.139	384.8639	355.0	1066717.853827212	137.0	713.0	185.2237	-0.1384	84.1088	721.6603	714.0	1433670.8234759923	502.0	967.0	134.5323	-0.24	65.5692	943.6639	956.0	1405878.3270205671	789.0	1055.0	80.3322	0.20068450935003523	0.5080947799282031	0.5419489227386663	0.6379814582695827
sub-ts004_ses-sdsu1_acq-mprage_T1w	0.5157114864864865	1.5620544205373765	0.646	-1.0	3.82129	3.93695	3.94258	3.58434	0.27704402398444633	0.37460043390431735	0.34835554211123637	0.5219024121761322	0.16496294587850568	0.0	0.0013549568475217147	5.551882325777757	5.4710802876138285	5.574655862594199	176	256	256	1.8048133380552505	4.59892212512883	5.9315342450586614	11.390867271991906	2.677323210857919	5.140460564847205	5.074164942483104	7.404711051744188	1.0	1.0	1.0	199.2317	0.0	8.8721	0.0	2762351.0	0.0	14.0	85.6444	-0.9113	159.5069	374.0833	350.0	564428.4394467827	104.0	699.0	193.9257	-0.0569	89.224	677.5997	672.0	763182.454845414	433.0	953.0	146.1211	-0.1736	63.4266	949.2292	968.0	709713.1068870188	777.0	1057.0	84.9803	0.22084073043702065	0.5279000442441354	0.5493592621868628	0.4634060017905137
sub-ts004_ses-sdsu2_acq-mprage_T1w	0.5171300675675675	1.5615518402243094	0.646	-1.0	3.82129	3.93695	3.94258	3.58434	0.2753176577418933	0.3753678831834543	0.34931445907465236	0.5219024121761322	0.16496294587850568	0.0	0.002097134217921895	5.55242048140401	5.471567582255321	5.574737637832933	176	256	256	1.804369415750681	4.601655642806445	5.920058846434366	11.354151480745974	2.6693651527127065	5.139866425853692	5.071028929078866	7.4038552086702	1.0	1.0	1.0	199.2316	0.0	8.873	0.0	2762349.0	0.0	14.0	85.6543	-0.9289	158.7943	372.746	349.0	560911.2720202281	103.0	698.0	193.4192	-0.0957	89.4669	676.8433	672.0	764745.9976190769	432.0	952.0	146.0343	-0.1722	63.6036	949.0795	968.0	711666.7313736452	776.0	1057.0	85.2551	0.22372684409445365	0.5301161190421448	0.5512940221432884	0.46335129463198754
